area_type,availability,location,total_sqft,bath,balcony,price,bhk_size,price_per_sqft
Super built-up  Area,19-Dec,Electronic City Phase II,1056.0,2.0,1.0,3907000.0,2,3699.810606060606
Plot  Area,Ready To Move,Chikka Tirupathi,2600.0,5.0,3.0,12000000.0,4,4615.384615384615
Built-up  Area,Ready To Move,Uttarahalli,1440.0,2.0,3.0,6200000.0,3,4305.555555555556
Super built-up  Area,Ready To Move,Lingadheeranahalli,1521.0,3.0,1.0,9500000.0,3,6245.890861275477
Super built-up  Area,Ready To Move,Kothanur,1200.0,2.0,1.0,5100000.0,2,4250.0
Super built-up  Area,Ready To Move,Whitefield,1170.0,2.0,1.0,3800000.0,2,3247.863247863248
Super built-up  Area,18-May,Old Airport Road,2732.0,4.0,2.0,20400000.0,4,7467.0571010248905
Super built-up  Area,Ready To Move,Rajaji Nagar,3300.0,4.0,2.0,60000000.0,4,18181.81818181818
Super built-up  Area,Ready To Move,Marathahalli,1310.0,3.0,1.0,6325000.0,3,4828.244274809161
Plot  Area,Ready To Move,Gandhi Bazar,1020.0,6.0,2.0,37000000.0,6,36274.509803921566
Super built-up  Area,18-Feb,Whitefield,1800.0,2.0,2.0,7000000.0,3,3888.8888888888887
Plot  Area,Ready To Move,Whitefield,2785.0,5.0,3.0,29500000.0,4,10592.45960502693
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1000.0,2.0,1.0,3800000.0,2,3800.0
Built-up  Area,Ready To Move,Gottigere,1100.0,2.0,2.0,4000000.0,2,3636.3636363636365
Plot  Area,Ready To Move,Sarjapur,2250.0,3.0,2.0,14800000.0,3,6577.777777777777
Super built-up  Area,Ready To Move,Mysore Road,1175.0,2.0,2.0,7350000.0,2,6255.31914893617
Super built-up  Area,Ready To Move,Bisuvanahalli,1180.0,3.0,2.0,4800000.0,3,4067.7966101694915
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1540.0,3.0,3.0,6000000.0,3,3896.103896103896
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2770.0,4.0,2.0,29000000.0,3,10469.314079422382
